subject_loss,object_loss,aggregate_loss,train_MRR,val_MRR,test_MRR,Triples
1.6014115810394287,1.5190460681915283,3.322617769241333,1.0,0.8233008755621821,0.8117655768775168,10_gemma
1.6361600160598755,1.4965851306915283,3.3625690937042236,1.0,0.8377004067958841,0.8136630160883891,10_gpt
1.5456725358963013,1.5195375680923462,3.199683427810669,1.0,0.8078785257177213,0.8177022535231485,25_gemma
1.7084814310073853,1.554703950881958,3.4725263118743896,1.0,0.8120923883486699,0.8204030353284084,25_gpt
1.5981627702713013,1.5452656745910645,3.2804503440856934,1.0,0.8138111190875008,0.81702400694938,50_gemma
1.678297996520996,1.5635896921157837,3.4194207191467285,1.0,0.8133924492592831,0.8241569928137095,50_gpt
1.4451364278793335,1.501800298690796,3.145983934402466,1.0,0.7964057299484433,0.8040728895206506,100_gemma
1.4887758493423462,1.5028398036956787,3.2841930389404297,1.0,0.7976609236659487,0.8111418018134431,100_gpt
1.5929988622665405,1.5175318717956543,3.3149311542510986,1.0,0.8199110632527717,0.8069434573165913,150_gemma
1.476228952407837,1.4560086727142334,3.2474873065948486,1.0,0.800657055116854,0.8176111961559726,150_gpt
1.6998186111450195,1.557410478591919,3.4377427101135254,1.0,0.7885578687086224,0.7839886343617685,200_gemma
1.7157565355300903,1.5687510967254639,3.4538538455963135,1.0,0.7910893754486714,0.7988776356313672,200_gpt
